"Year","M_verbal","F_verbal","M_math","F_math","A_verbal","A_math","M_averages","F_averages","A_averages"
"1967","540","545","535","495","543","516","538","520","529"
"1968","541","543","533","497","543","516","537","520","528"
"1969","536","543","534","498","540","517","535","520","528"
"1970","536","538","531","493","537","512","534","516","524"
"1971","531","534","529","494","532","513","530","514","522"
"1972","531","529","527","489","530","509","529","509","519"
"1973","523","521","525","489","523","506","524","505","514"
"1974","524","520","524","488","521","505","524","504","514"
"1975","515","509","518","479","512","498","516","494","505"
"1976","511","508","520","475","509","497","516","492","504"
"1977","509","505","520","474","507","496","514","490","502"
"1978","511","503","517","474","507","494","514","488","501"
"1979","509","501","516","473","505","493","512","487","500"
"1980","506","498","515","473","502","492","510","486","498"
"1981","508","496","516","473","502","492","512","484","498"
"1982","509","499","516","473","504","493","512","486","499"
"1983","508","498","516","474","503","494","512","486","499"
"1984","511","498","518","478","504","497","514","488","501"
"1985","514","503","522","480","509","500","518","492","505"
"1986","515","504","523","479","509","500","519","492","505"
"1987","512","502","523","481","507","501","518","492","504"
"1988","512","499","521","483","505","501","516","491","504"
"1989","510","498","523","482","504","502","516","490","503"
"1990","505","496","521","483","500","501","513","490","501"
"1991","503","495","520","482","499","500","512","488","500"
"1992","504","496","521","484","500","501","512","490","501"
"1993","504","497","524","484","500","503","514","490","502"
"1994","501","497","523","487","499","504","512","492","502"
"1995","505","502","525","490","504","506","515","496","506"
"1996","507","503","527","492","505","508","517","498","507"
"1997","507","503","530","494","505","511","518","498","508"
"1998","509","502","531","496","505","512","520","499","510"
"1999","509","502","531","495","505","511","520","498","509"
"2000","507","504","533","498","505","514","520","501","510"
"2001","509","502","533","498","506","514","521","500","510"
